timestamp,date,latitude,longitude
1636568128,"2021-11-10 18:15:28",49.259395,3.86055
1636568159,"2021-11-10 18:15:59",49.259854,3.862073
1636568192,"2021-11-10 18:16:32",49.260205,3.861868
1636568224,"2021-11-10 18:17:04",49.259387,3.860547
1636568284,"2021-11-10 18:18:04",49.25996,3.861987
1636568716,"2021-11-10 18:25:16",49.259893,3.862117
1636568736,"2021-11-10 18:25:36",49.259378,3.860535
1636568982,"2021-11-10 18:29:42",49.259943,3.862036
1636569064,"2021-11-10 18:31:04",49.259368,3.86053
1636569090,"2021-11-10 18:31:30",49.260124,3.861947
1636569125,"2021-11-10 18:32:05",49.259369,3.860526
1636569159,"2021-11-10 18:32:39",49.260016,3.862068
1636569220,"2021-11-10 18:33:40",49.259369,3.860533
1636570067,"2021-11-10 18:47:47",49.259961,3.861991
1636570118,"2021-11-10 18:48:38",49.26046,3.861985
1636570150,"2021-11-10 18:49:10",49.259386,3.86055
1636570183,"2021-11-10 18:49:43",49.260085,3.861986
1636570215,"2021-11-10 18:50:15",49.259389,3.860537
1636570248,"2021-11-10 18:50:48",49.260107,3.862053
1636570379,"2021-11-10 18:52:59",49.259392,3.860553
1636570413,"2021-11-10 18:53:33",49.260007,3.861967
1636570541,"2021-11-10 18:55:41",49.259396,3.860551
1636570570,"2021-11-10 18:56:10",49.259962,3.86199
1636573783,"2021-11-10 19:49:43",49.259387,3.860521
1636573813,"2021-11-10 19:50:13",49.259962,3.861995
1636573843,"2021-11-10 19:50:43",49.259366,3.860529
1636573873,"2021-11-10 19:51:13",49.25996,3.861985
1636574257,"2021-11-10 19:57:37",49.259365,3.860528
1636574288,"2021-11-10 19:58:08",49.259962,3.861996
1636574352,"2021-11-10 19:59:12",49.259371,3.860527
1636574364,"2021-11-10 19:59:24",49.260047,3.861815
1636574383,"2021-11-10 19:59:43",49.259366,3.860525
1636574414,"2021-11-10 20:00:14",49.259999,3.862028
1636574578,"2021-11-10 20:02:58",49.259394,3.860552
1636575033,"2021-11-10 20:10:33",49.259951,3.862192
1636575072,"2021-11-10 20:11:12",49.259399,3.860546
1636575118,"2021-11-10 20:11:58",49.259554,3.862024
1636575132,"2021-11-10 20:12:12",49.259455,3.86107
1636575165,"2021-11-10 20:12:45",49.259394,3.860539
1636575192,"2021-11-10 20:13:12",49.259962,3.861997
1636575225,"2021-11-10 20:13:45",49.259408,3.860592
1636575276,"2021-11-10 20:14:36",49.259896,3.862054
1636575359,"2021-11-10 20:15:59",49.259406,3.860551
1636575393,"2021-11-10 20:16:33",49.259889,3.861956
1636575458,"2021-11-10 20:17:38",49.2594,3.860549
1636575491,"2021-11-10 20:18:11",49.259986,3.861956
1636575623,"2021-11-10 20:20:23",49.259403,3.860555
1636575656,"2021-11-10 20:20:56",49.259954,3.861965
1636575886,"2021-11-10 20:24:46",49.259404,3.860553
1636575919,"2021-11-10 20:25:19",49.259943,3.861871
1636575983,"2021-11-10 20:26:23",49.259401,3.860556
1636576014,"2021-11-10 20:26:54",49.259956,3.861975
1636576372,"2021-11-10 20:32:52",49.259594,3.861524
1636576405,"2021-11-10 20:33:25",49.259853,3.862078
1636576434,"2021-11-10 20:33:54",49.2594,3.860553
1636576494,"2021-11-10 20:34:54",49.259959,3.86198
1636576584,"2021-11-10 20:36:24",49.259401,3.860553
1636576857,"2021-11-10 20:40:57",49.259747,3.861409
1636576887,"2021-11-10 20:41:27",49.259404,3.860555
1636576978,"2021-11-10 20:42:58",49.259627,3.861426
1636577008,"2021-11-10 20:43:28",49.259403,3.860549
1636577099,"2021-11-10 20:44:59",49.259766,3.861253
1636577129,"2021-11-10 20:45:29",49.259404,3.860555
1636577226,"2021-11-10 20:47:06",49.259881,3.862016
1636577703,"2021-11-10 20:55:03",49.2594,3.860557
1636577733,"2021-11-10 20:55:33",49.25996,3.861982
1636578067,"2021-11-10 21:01:07",49.259404,3.860555
1636578097,"2021-11-10 21:01:37",49.259957,3.861978
1636578248,"2021-11-10 21:04:08",49.259402,3.860555
1636578279,"2021-11-10 21:04:39",49.259955,3.861967
1636578581,"2021-11-10 21:09:41",49.2594,3.860544
1636578611,"2021-11-10 21:10:11",49.259958,3.861979
1636578642,"2021-11-10 21:10:42",49.259401,3.86055
1636578701,"2021-11-10 21:11:41",49.259955,3.861972
1636578731,"2021-11-10 21:12:11",49.259401,3.860546
1636578761,"2021-11-10 21:12:41",49.259959,3.861976
1636578791,"2021-11-10 21:13:11",49.259401,3.860548
1636578822,"2021-11-10 21:13:42",49.259956,3.861975
1636578912,"2021-11-10 21:15:12",49.259739,3.861503
1636578943,"2021-11-10 21:15:43",49.259401,3.860546
1636579064,"2021-11-10 21:17:44",49.259958,3.861978
1636579094,"2021-11-10 21:18:14",49.259683,3.861513
1636579124,"2021-11-10 21:18:44",49.259401,3.860548
1636579154,"2021-11-10 21:19:14",49.259959,3.861976
1636579364,"2021-11-10 21:22:44",49.259682,3.861566
1636579394,"2021-11-10 21:23:14",49.259958,3.861978
1636579425,"2021-11-10 21:23:45",49.259606,3.861533
1636579485,"2021-11-10 21:24:45",49.259961,3.861984
1636579575,"2021-11-10 21:26:15",49.259735,3.861584
1636579605,"2021-11-10 21:26:45",49.25996,3.861982
1636579756,"2021-11-10 21:29:16",49.259399,3.860555
1636579906,"2021-11-10 21:31:46",49.259957,3.861976
1636579966,"2021-11-10 21:32:46",49.25941,3.860603
1636579997,"2021-11-10 21:33:17",49.259755,3.861599
